Contract Count,ID,LGA,SEIFA,Population,TargetedGroup,Service,Indigenous,Agency
3,G1415AH30,Upper Hunter,56,14658,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Tenterfield,10,6980,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Tamworth,45,60495,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Singleton,76,23884,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Port Stephens,58,69728,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Newcastle,72,160021,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Narrabri,36,13764,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Muswellbrook,51,17045,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Moree Plains,15,14092,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Maitland,70,75170,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Liverpool Plains,13,7819,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Lake Macquarie,69,202676,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Inverell,12,16846,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Gwydir,25,5080,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Guyra,18,4619,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Gunnedah,28,12826,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Greater Taree,8,48941,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Great Lakes,17,36499,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Gloucester,31,5064,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Glen Innes Severn,13,8966,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Dungog,63,9108,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Cessnock,19,54979,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH30,Armidale Dumaresq,67,25327,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH18,Wollongong,65,206794,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH18,Shoalhaven,41,99016,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH18,Shellharbour,53,68762,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH18,Kiama,84,21314,330 Primary health care needs,A09.3 Health Support,Indigenous,Health
3,G1415AH10,Lachlan,26,6775,392 Victims of domestic violence,A09.3 Health Support,Indigenous,Health
3,D13-06949-03,Wollongong,65,206794,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Wollongong,65,206794,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Wollongong,65,206794,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Sutherland,89,225070,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Sutherland,89,225070,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Sutherland,89,225070,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Shellharbour,53,68762,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Shellharbour,53,68762,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Shellharbour,53,68762,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Liverpool,58,199928,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Liverpool,58,199928,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Liverpool,58,199928,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Kiama,84,21314,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Kiama,84,21314,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Kiama,84,21314,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Fairfield,4,203109,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Fairfield,4,203109,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Fairfield,4,203109,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Campbelltown,38,156572,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Campbelltown,38,156572,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Campbelltown,38,156572,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Camden,87,67084,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Camden,87,67084,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Camden,87,67084,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Bankstown,44,200357,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Bankstown,44,200357,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Bankstown,44,200357,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Auburn,41,85446,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Auburn,41,85446,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06949-03,Auburn,41,85446,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Woollahra,98,58619,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Woollahra,98,58619,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Woollahra,98,58619,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Waverley,92,71769,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Waverley,92,71769,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Waverley,92,71769,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Sydney City,85,198331,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Sydney City,85,198331,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Rockdale,75,108072,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Rockdale,75,108072,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Rockdale,75,108072,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Randwick,88,143776,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Randwick,88,143776,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Randwick,88,143776,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Kogarah,86,61030,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Kogarah,86,61030,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Kogarah,86,61030,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Hurstville,78,85886,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Hurstville,78,85886,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-04,Hurstville,78,85886,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Willoughby,94,74166,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Willoughby,94,74166,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Willoughby,94,74166,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Warringah,91,155289,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Warringah,91,155289,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Warringah,91,155289,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Strathfield,84,39481,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Strathfield,84,39481,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Strathfield,84,39481,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Ryde,89,114598,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Ryde,89,114598,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Ryde,89,114598,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Pittwater,95,63338,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Pittwater,95,63338,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Pittwater,95,63338,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,North Sydney,97,71025,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,North Sydney,97,71025,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,North Sydney,97,71025,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Mosman,99,30276,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Mosman,99,30276,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Mosman,99,30276,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Marrickville,83,83356,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Marrickville,83,83356,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Manly,96,44786,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Manly,96,44786,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Manly,96,44786,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Leichhardt,93,58136,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Leichhardt,93,58136,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Leichhardt,93,58136,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Lane Cove,99,34807,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Lane Cove,99,34807,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Lane Cove,99,34807,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Ku-Ring-Gai,100,120978,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Ku-Ring-Gai,100,120978,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Ku-Ring-Gai,100,120978,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Hunters Hill,95,14689,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Hunters Hill,95,14689,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Hunters Hill,95,14689,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Hornsby,93,168614,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Hornsby,93,168614,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Hornsby,93,168614,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Canterbury,34,150626,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Canterbury,34,150626,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Canterbury,34,150626,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Burwood,79,36053,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Burwood,79,36053,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Burwood,79,36053,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Ashfield,80,44498,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Ashfield,80,44498,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-03,Ashfield,80,44498,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-02,Penrith,71,194134,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-02,Penrith,71,194134,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-02,Penrith,71,194134,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-02,Blue Mountains,82,79688,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-02,Blue Mountains,82,79688,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-02,Blue Mountains,82,79688,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,The Hills,97,187703,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,The Hills,97,187703,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,The Hills,97,187703,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,Parramatta,73,189932,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,Parramatta,73,189932,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,Holroyd,60,111100,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,Holroyd,60,111100,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,Holroyd,60,111100,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,Hawkesbury,77,65527,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,Hawkesbury,77,65527,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,Hawkesbury,77,65527,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,Blacktown,61,332424,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06948-01,Blacktown,61,332424,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Young,28,12641,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Young,28,12641,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Young,28,12641,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Yass Valley,88,16433,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Yass Valley,88,16433,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Yass Valley,88,16433,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Upper Lachlan,74,7761,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Upper Lachlan,74,7761,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Upper Lachlan,74,7761,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Tumut,27,11375,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Tumut,27,11375,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Tumut,27,11375,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Snowy River,80,8069,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Snowy River,80,8069,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Snowy River,80,8069,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Queanbeyan,86,40858,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Queanbeyan,86,40858,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Queanbeyan,86,40858,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Palerang,91,15510,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Palerang,91,15510,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Palerang,91,15510,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Harden,23,3751,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Harden,23,3751,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Harden,23,3751,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Goulburn Mulwaree,40,29376,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Goulburn Mulwaree,40,29376,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Goulburn Mulwaree,40,29376,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Eurobodalla,35,37643,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Eurobodalla,35,37643,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Eurobodalla,35,37643,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Cooma-Monaro,62,10216,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Cooma-Monaro,62,10216,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Cooma-Monaro,62,10216,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Boorowa,49,2602,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Boorowa,49,2602,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Boorowa,49,2602,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Bombala,30,2422,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Bombala,30,2422,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Bombala,30,2422,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Bega Valley,47,33468,3891 At risk (Re-entering crim. justice syst),A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Bega Valley,47,33468,388 In transition custody to community,A05.4 Transitional & crisis accom.,N/A,Justice
3,D13-06947-06,Bega Valley,47,33468,385 Community based supervision,A05.4 Transitional & crisis accom.,N/A,Justice
3,D11/280205-02,Newcastle,72,160021,388 In transition custody to community,A01.3 Community living support,N/A,Justice
3,CTA25746_2013-15_01_120821_ADHC01,Young,28,12641,399 Other individuals (special needs),A01.3 Community living support,N/A,Transport
3,CTA25746_2013-15_01_120821_ADHC01,Young,28,12641,359 Other people of immigrant background,A01.3 Community living support,N/A,Transport
3,CTA25746_2013-15_01_120821_ADHC01,Young,28,12641,349 Other specified health needs,A01.3 Community living support,N/A,Transport
3,CTA25746_2013-15_01_120821_ADHC01,Young,28,12641,339 Mental Health needs,A01.3 Community living support,N/A,Transport
3,CTA25746_2013-15_01_120821_ADHC01,Young,28,12641,330 Primary health care needs,A01.3 Community living support,N/A,Transport
3,CTA25746_2013-15_01_120601_ADHC01,Shoalhaven,41,99016,399 Other individuals (special needs),A01.3 Community living support,N/A,Transport
3,CTA25746_2013-15_01_120601_ADHC01,Shoalhaven,41,99016,359 Other people of immigrant background,A01.3 Community living support,N/A,Transport
3,CTA25746_2013-15_01_120601_ADHC01,Shoalhaven,41,99016,349 Other specified health needs,A01.3 Community living support,N/A,Transport
3,CTA25746_2013-15_01_120601_ADHC01,Shoalhaven,41,99016,339 Mental Health needs,A01.3 Community living support,N/A,Transport
3,CTA25746_2013-15_01_120601_ADHC01,Shoalhaven,41,99016,330 Primary health care needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120591_ADHC01,Queanbeyan,86,40858,399 Other individuals (special needs),A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120591_ADHC01,Queanbeyan,86,40858,359 Other people of immigrant background,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120591_ADHC01,Queanbeyan,86,40858,349 Other specified health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120591_ADHC01,Queanbeyan,86,40858,339 Mental Health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120591_ADHC01,Queanbeyan,86,40858,330 Primary health care needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120591_ADHC01,Palerang,91,15510,399 Other individuals (special needs),A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120591_ADHC01,Palerang,91,15510,359 Other people of immigrant background,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120591_ADHC01,Palerang,91,15510,349 Other specified health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120591_ADHC01,Palerang,91,15510,339 Mental Health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120591_ADHC01,Palerang,91,15510,330 Primary health care needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120401_ADHC01,Urana,20,1147,399 Other individuals (special needs),A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120401_ADHC01,Urana,20,1147,359 Other people of immigrant background,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120401_ADHC01,Urana,20,1147,349 Other specified health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120401_ADHC01,Urana,20,1147,339 Mental Health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120401_ADHC01,Urana,20,1147,330 Primary health care needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120401_ADHC01,Lockhart,67,3080,399 Other individuals (special needs),A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120401_ADHC01,Lockhart,67,3080,359 Other people of immigrant background,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120401_ADHC01,Lockhart,67,3080,349 Other specified health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120401_ADHC01,Lockhart,67,3080,339 Mental Health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120401_ADHC01,Lockhart,67,3080,330 Primary health care needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120331_ADHC01,Upper Lachlan,74,7761,399 Other individuals (special needs),A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120331_ADHC01,Upper Lachlan,74,7761,359 Other people of immigrant background,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120331_ADHC01,Upper Lachlan,74,7761,349 Other specified health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120331_ADHC01,Upper Lachlan,74,7761,339 Mental Health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120331_ADHC01,Upper Lachlan,74,7761,330 Primary health care needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120331_ADHC01,Goulburn Mulwaree,40,29376,399 Other individuals (special needs),A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120331_ADHC01,Goulburn Mulwaree,40,29376,359 Other people of immigrant background,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120331_ADHC01,Goulburn Mulwaree,40,29376,349 Other specified health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120331_ADHC01,Goulburn Mulwaree,40,29376,339 Mental Health needs,A01.3 Community living support,N/A,Transport
3,CTA20556_2013-15_01_120331_ADHC01,Goulburn Mulwaree,40,29376,330 Primary health care needs,A01.3 Community living support,N/A,Transport
3,CTA20504_2013-15_01_120271_ADHC01,Griffith,48,25811,399 Other individuals (special needs),A01.3 Community living support,N/A,Transport
3,CTA20504_2013-15_01_120271_ADHC01,Griffith,48,25811,359 Other people of immigrant background,A01.3 Community living support,N/A,Transport
3,CTA20504_2013-15_01_120271_ADHC01,Griffith,48,25811,349 Other specified health needs,A01.3 Community living support,N/A,Transport
3,CTA20504_2013-15_01_120271_ADHC01,Griffith,48,25811,339 Mental Health needs,A01.3 Community living support,N/A,Transport
3,CTA20504_2013-15_01_120271_ADHC01,Griffith,48,25811,330 Primary health care needs,A01.3 Community living support,N/A,Transport
