Contract Count,ID,LGA,Population,TargetedGroup,Service,Agency,Indigenous,SEIFA,Year
3,31970-01,Willoughby,74166,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,94,Y 2015
3,32394-01,Albury,51082,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,57,Y 2015
3,32394-01,Berrigan,8413,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,32,Y 2015
3,32394-01,Bland,5994,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,51,Y 2015
3,32394-01,Carrathool,2795,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,50,Y 2015
3,32394-01,Conargo,1535,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,82,Y 2015
3,32394-01,Coolamon,4308,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,52,Y 2015
3,32394-01,Cootamundra,7749,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,21,Y 2015
3,32394-01,Corowa,11455,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,38,Y 2015
3,32394-01,Deniliquin,7437,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,21,Y 2015
3,32394-01,Greater Hume,10258,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,63,Y 2015
3,32394-01,Griffith,25811,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,48,Y 2015
3,32394-01,Gundagai,3755,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,42,Y 2015
3,32394-01,Hay,2989,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,14,Y 2015
3,32394-01,Jerilderie,1519,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,66,Y 2015
3,32394-01,Junee,6297,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,23,Y 2015
3,32394-01,Leeton,11595,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,33,Y 2015
3,32394-01,Lockhart,3080,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,67,Y 2015
3,32394-01,Murray,7466,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,56,Y 2015
3,32394-01,Murrumbidgee,2528,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,17,Y 2015
3,32394-01,Narrandera,5961,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,12,Y 2015
3,32394-01,Temora,6050,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,30,Y 2015
3,32394-01,Tumbarumba,3578,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,39,Y 2015
3,32394-01,Tumut,11375,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,27,Y 2015
3,32394-01,Urana,1147,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,20,Y 2015
3,32394-01,Wagga Wagga,62799,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,71,Y 2015
3,32394-01,Wakool,3990,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,54,Y 2015
3,32450-01,Hornsby,168614,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,93,Y 2015
3,32450-01,Hunters Hill,14689,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,95,Y 2015
3,32450-01,Ku-Ring-Gai,120978,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,100,Y 2015
3,32450-01,Lane Cove,34807,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,99,Y 2015
3,32450-01,Manly,44786,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,96,Y 2015
3,32450-01,Mosman,30276,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,99,Y 2015
3,32450-01,North Sydney,71025,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,97,Y 2015
3,32450-01,Pittwater,63338,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,95,Y 2015
3,32450-01,Ryde,114598,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,89,Y 2015
3,32450-01,Warringah,155289,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,91,Y 2015
3,32450-01,Willoughby,74166,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,94,Y 2015
3,32556-01,Kiama,21314,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,84,Y 2015
3,32556-01,Shellharbour,68762,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,53,Y 2015
3,32556-01,Shoalhaven,99016,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,41,Y 2015
3,32556-01,Wollongong,206794,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,65,Y 2015
3,32580-01,Bega Valley,33468,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,47,Y 2015
3,32580-01,Bombala,2422,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,30,Y 2015
3,32580-01,Boorowa,2602,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,49,Y 2015
3,32580-01,Cooma-Monaro,10216,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,62,Y 2015
3,32580-01,Eurobodalla,37643,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,35,Y 2015
3,32580-01,Goulburn Mulwaree,29376,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,40,Y 2015
3,32580-01,Harden,3751,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,23,Y 2015
3,32580-01,Palerang,15510,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,91,Y 2015
3,32580-01,Queanbeyan,40858,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,86,Y 2015
3,32580-01,Snowy River,8069,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,80,Y 2015
3,32580-01,Upper Lachlan,7761,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,74,Y 2015
3,32580-01,Yass Valley,16433,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,88,Y 2015
3,32580-01,Young,12641,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,28,Y 2015
3,33221-01,Bathurst,41682,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,68,Y 2015
3,33221-01,Blayney,7409,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,60,Y 2015
3,33221-01,Cabonne,13776,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,73,Y 2015
3,33221-01,Cowra,12574,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,16,Y 2015
3,33221-01,Forbes,9759,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,29,Y 2015
3,33221-01,Lachlan,6775,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,26,Y 2015
3,33221-01,Oberon,5327,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,52,Y 2015
3,33221-01,Orange,41431,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,59,Y 2015
3,33221-01,Parkes,15217,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,24,Y 2015
3,33221-01,Weddin,3709,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,34,Y 2015
2,SaS~13161368029~2835,Cobar,5111,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,39,Y 2015
2,SaS~34007129964~2707,Jerilderie,1519,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,66,Y 2015
2,SaS~34145498571~2722,Gundagai,3755,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,42,Y 2015
2,SaS~40930684696~2627,Snowy River,8069,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,80,Y 2015
2,SaS~63000008088~2586,Boorowa,2602,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,49,Y 2015
2,SaS~66085654397~2836,Bourke,2973,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,25,Y 2015
2,SaS~72189919072~2372,Tenterfield,6980,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,10,Y 2015
2,SaS~72189919072~2628,Bombala,2422,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,30,Y 2015
2,SaS~87002974076~2590,Cootamundra,7749,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,21,Y 2015
2,SaS~90105098846~2648,Wentworth,6884,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,43,Y 2015
2,SaS~98104919548~2832,Walgett,6840,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,2,Y 2015
2,1-2912708630,Albury,51082,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,57,Y 2015
2,1-2912708630,Bombala,2422,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,30,Y 2015
2,1-2912708630,Coolamon,4308,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,52,Y 2015
2,1-2912708630,Cooma-Monaro,10216,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,62,Y 2015
2,1-2912708630,Cootamundra,7749,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,21,Y 2015
2,1-2912708630,Goulburn Mulwaree,29376,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,40,Y 2015
2,1-2912708630,Palerang,15510,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,91,Y 2015
2,1-2912708630,Temora,6050,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,30,Y 2015
2,1-2912708630,Tumbarumba,3578,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,39,Y 2015
2,1-2913049802,Gosford,171992,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,75,Y 2015
2,1-2913049802,Wyong,159015,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,37,Y 2015
2,1-2913050218,Bathurst,41682,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,68,Y 2015
2,1-3008450024,Kempsey,29643,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,3,Y 2015
2,1-3008450024,Port Macquarie-Hastings,77481,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,49,Y 2015
2,1-3030162418,Greater Taree,48941,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,8,Y 2015
2,1-3057606790,Cessnock,54979,390 Homeless persons,A05.4 Transitional & crisis accom.,FACS,Non Indigenous,19,Y 2015
2,1-3057606790,Dungog,9108,390 Homeless persons,A05.4 Transitional & crisis accom.,FACS,Non Indigenous,63,Y 2015
2,1-3057606790,Maitland,75170,390 Homeless persons,A05.4 Transitional & crisis accom.,FACS,Non Indigenous,70,Y 2015
2,1-3061805212,Bankstown,200357,390 Homeless persons,A05.4 Transitional & crisis accom.,FACS,Non Indigenous,44,Y 2015
2,1-3061805212,Canterbury,150626,390 Homeless persons,A05.4 Transitional & crisis accom.,FACS,Non Indigenous,34,Y 2015
2,31654-01,Balranald,2400,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,22,Y 2015
2,31654-01,Bogan,3076,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,26,Y 2015
2,31654-01,Bourke,2973,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,25,Y 2015
2,31654-01,Brewarrina,1931,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,1,Y 2015
2,31654-01,Broken Hill,19048,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,6,Y 2015
2,31654-01,Central Darling,2065,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,2,Y 2015
2,31654-01,Cobar,5111,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,39,Y 2015
2,31654-01,Coonamble,4292,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,4,Y 2015
2,31654-01,Dubbo,41573,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,54,Y 2015
2,31654-01,Gilgandra,4440,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,11,Y 2015
2,31654-01,Mid-Western,24017,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,47,Y 2015
2,31654-01,Narromine,6854,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,19,Y 2015
2,31654-01,Unincorporated NSW,1122,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,76,Y 2015
2,31654-01,Walgett,6840,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,2,Y 2015
2,31654-01,Warren,2921,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,32,Y 2015
2,31654-01,Warrumbungle,9786,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,10,Y 2015
2,31654-01,Wellington,9054,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,7,Y 2015
2,31654-01,Wentworth,6884,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,43,Y 2015
2,32075-01,Bega Valley,33468,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,47,Y 2015
2,32075-01,Bombala,2422,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,30,Y 2015
2,32075-01,Boorowa,2602,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,49,Y 2015
2,32075-01,Cooma-Monaro,10216,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,62,Y 2015
2,32075-01,Eurobodalla,37643,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,35,Y 2015
2,32075-01,Goulburn Mulwaree,29376,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,40,Y 2015
2,32075-01,Harden,3751,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,23,Y 2015
2,32075-01,Palerang,15510,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,91,Y 2015
2,32075-01,Queanbeyan,40858,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,86,Y 2015
2,32075-01,Snowy River,8069,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,80,Y 2015
2,32075-01,Upper Lachlan,7761,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,74,Y 2015
2,32075-01,Yass Valley,16433,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,88,Y 2015
2,32075-01,Young,12641,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,28,Y 2015
2,32194-01,Armidale Dumaresq,25327,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,67,Y 2015
2,32194-01,Glen Innes Severn,8966,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,13,Y 2015
2,32194-01,Gunnedah,12826,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,28,Y 2015
2,32194-01,Guyra,4619,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,18,Y 2015
2,32194-01,Gwydir,5080,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,25,Y 2015
2,32194-01,Inverell,16846,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,12,Y 2015
2,32194-01,Liverpool Plains,7819,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,13,Y 2015
2,32194-01,Moree Plains,14092,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,15,Y 2015
2,32194-01,Narrabri,13764,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,36,Y 2015
2,32194-01,Tamworth,60495,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,45,Y 2015
2,32194-01,Tenterfield,6980,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,10,Y 2015
2,32194-01,Uralla,6408,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,62,Y 2015
2,32194-01,Walcha,3098,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,55,Y 2015
2,32239-01,Cessnock,54979,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,19,Y 2015
2,32239-01,Dungog,9108,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,63,Y 2015
2,32239-01,Lake Macquarie,202676,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,69,Y 2015
2,32239-01,Maitland,75170,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,70,Y 2015
2,32239-01,Muswellbrook,17045,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,51,Y 2015
2,32239-01,Newcastle,160021,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,72,Y 2015
2,32239-01,Port Stephens,69728,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,58,Y 2015
2,32239-01,Singleton,23884,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,76,Y 2015
2,32239-01,Upper Hunter,14658,360 Daily living assistance (multiple needs),A01.2 Personal support,FACS,Non Indigenous,56,Y 2015
2,32379-01,Ashfield,44498,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,80,Y 2015
2,32379-01,Burwood,36053,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,79,Y 2015
2,32379-01,Canada Bay,87480,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,90,Y 2015
2,32379-01,Canterbury,150626,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,34,Y 2015
2,32379-01,Leichhardt,58136,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,93,Y 2015
2,32379-01,Marrickville,83356,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,83,Y 2015
2,32379-01,Strathfield,39481,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,84,Y 2015
2,32462-01,Balranald,2400,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,22,Y 2015
2,32462-01,Bogan,3076,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,26,Y 2015
2,32462-01,Bourke,2973,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,25,Y 2015
2,32462-01,Brewarrina,1931,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,1,Y 2015
2,32462-01,Broken Hill,19048,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,6,Y 2015
2,32462-01,Central Darling,2065,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,2,Y 2015
2,32462-01,Cobar,5111,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,39,Y 2015
2,32462-01,Coonamble,4292,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,4,Y 2015
2,32462-01,Dubbo,41573,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,54,Y 2015
2,32462-01,Gilgandra,4440,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,11,Y 2015
2,32462-01,Mid-Western,24017,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,47,Y 2015
2,32462-01,Narromine,6854,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,19,Y 2015
2,32462-01,Unincorporated NSW,1122,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,76,Y 2015
2,32462-01,Walgett,6840,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,2,Y 2015
2,32462-01,Warren,2921,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,32,Y 2015
2,32462-01,Warrumbungle,9786,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,10,Y 2015
2,32462-01,Wellington,9054,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,7,Y 2015
2,32462-01,Wentworth,6884,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,43,Y 2015
2,32552-01,Ballina,41644,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,65,Y 2015
2,32552-01,Byron,32119,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,64,Y 2015
2,32552-01,Clarence Valley,51003,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,9,Y 2015
2,32552-01,Kyogle,9531,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,8,Y 2015
2,32552-01,Lismore,44629,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,43,Y 2015
2,32552-01,Richmond Valley,22983,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,5,Y 2015
2,32552-01,Tweed,91210,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,45,Y 2015
2,32662-01,Auburn,85446,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,41,Y 2015
2,32662-01,Blacktown,332424,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,61,Y 2015
2,32662-01,Holroyd,111100,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,60,Y 2015
2,32662-01,Parramatta,189932,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,73,Y 2015
2,32662-01,The Hills,187703,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,97,Y 2015
2,32800-01,Botany Bay,44742,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,69,Y 2015
2,32800-01,Hurstville,85886,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,78,Y 2015
2,32800-01,Kogarah,61030,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,86,Y 2015
2,32800-01,Randwick,143776,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,88,Y 2015
2,32800-01,Rockdale,108072,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,75,Y 2015
2,32800-01,Sutherland,225070,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,89,Y 2015
2,32800-01,Sydney City,198331,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,85,Y 2015
2,32800-01,Waverley,71769,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,92,Y 2015
2,32800-01,Woollahra,58619,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,98,Y 2015
2,32976-01,Bellingen,13032,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,36,Y 2015
2,32976-01,Coffs Harbour,72382,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,46,Y 2015
2,32976-01,Gloucester,5064,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,31,Y 2015
2,32976-01,Great Lakes,36499,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,17,Y 2015
2,32976-01,Greater Taree,48941,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,8,Y 2015
2,32976-01,Kempsey,29643,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,3,Y 2015
2,32976-01,Nambucca,19655,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,6,Y 2015
2,32976-01,Port Macquarie-Hastings,77481,214 Families (aged or disability care),"A02.9 Support children, families, carers",FACS,Non Indigenous,49,Y 2015
2,33194-01,Bellingen,13032,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,36,Y 2015
2,33194-01,Coffs Harbour,72382,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,46,Y 2015
2,33194-01,Gloucester,5064,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,31,Y 2015
2,33194-01,Great Lakes,36499,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,17,Y 2015
2,33194-01,Greater Taree,48941,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,8,Y 2015
2,33194-01,Kempsey,29643,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,3,Y 2015
2,33194-01,Nambucca,19655,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,6,Y 2015
2,33194-01,Port Macquarie-Hastings,77481,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,49,Y 2015
2,33323-01,Ballina,41644,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,65,Y 2015
2,33323-01,Byron,32119,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,64,Y 2015
2,33323-01,Clarence Valley,51003,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,9,Y 2015
2,33323-01,Kyogle,9531,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,8,Y 2015
2,33323-01,Lismore,44629,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,43,Y 2015
2,33323-01,Richmond Valley,22983,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,5,Y 2015
2,33323-01,Tweed,91210,366 Assistance with work (disabilities),A01.3 Community living support,FACS,Non Indigenous,45,Y 2015
1,SaS~12499095112~2824,Warren,2921,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,32,Y 2015
1,SaS~50112062647~2619,Queanbeyan,40858,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,86,Y 2015
1,SaS~66107687196~2110,Hunters Hill,14689,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,95,Y 2015
